DATAFLOW,LAST UPDATE,freq,unit,tra_mode,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2021,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2005,7.1,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2006,6.9,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2007,7.0,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2008,7.0,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2009,6.7,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2010,7.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2011,6.8,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2012,7.4,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2013,7.4,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2014,7.3,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2015,7.0,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2016,6.7,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2017,6.5,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2018,5.8,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2019,6.0,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2020,5.8,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU27_2020,2021,5.6,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2005,6.5,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2006,6.3,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2007,6.5,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2008,6.5,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2009,6.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2010,6.9,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2011,6.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2012,6.8,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2013,6.9,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2014,6.8,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2015,6.5,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2016,6.2,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2017,6.0,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2018,5.4,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EU28,2019,5.6,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2005,0.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2006,0.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2007,0.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2008,0.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2009,0.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2010,0.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2011,0.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2012,0.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2013,0.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2014,0.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2015,0.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2016,0.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,FI,2017,0.4,e
